Index,Stock Name,Sector,Average ESG Pillar score_2019,Average ESG Pillar score_2020,Average ESG Pillar score_2021,Average ESG Pillar score_2022,Environmental Pillar Score_2019,Environmental Pillar Score_2020,Environmental Pillar Score_2021,Environmental Pillar Score_2022,Carbon Offsets/Credits_2018,Carbon Offsets/Credits_2019,Carbon Offsets/Credits_2020,Carbon Offsets/Credits_2021,Carbon Offsets/Credits_2022,Resource Use Score_2018,Resource Use Score_2019,Resource Use Score_2020,Resource Use Score_2021,Resource Use Score_2022,Resource Use Score Grade_2018,Resource Use Score Grade_2019,Resource Use Score Grade_2020,Resource Use Score Grade_2021,Resource Use Score Grade_2022,Resource Reduction Policy_2018,Resource Reduction Policy_2019,Resource Reduction Policy_2020,Resource Reduction Policy_2021,Resource Reduction Policy_2022,CO2 Equivalent Emissions Total_2018,CO2 Equivalent Emissions Total_2019,CO2 Equivalent Emissions Total_2020,CO2 Equivalent Emissions Total_2021,CO2 Equivalent Emissions Total_2022,"CO2 Equivalent Emissions Direct, Scope _2018","CO2 Equivalent Emissions Direct, Scope _2019","CO2 Equivalent Emissions Direct, Scope _2020","CO2 Equivalent Emissions Direct, Scope _2021","CO2 Equivalent Emissions Direct, Scope _2022","CO2 Equivalent Emissions Indirect, Scope 2_2018","CO2 Equivalent Emissions Indirect, Scope 2_2019","CO2 Equivalent Emissions Indirect, Scope 2_2020","CO2 Equivalent Emissions Indirect, Scope 2_2021","CO2 Equivalent Emissions Indirect, Scope 2_2022","CO2 Equivalent Emissions Indirect, Scope 3_2018","CO2 Equivalent Emissions Indirect, Scope 3_2019","CO2 Equivalent Emissions Indirect, Scope 3_2020","CO2 Equivalent Emissions Indirect, Scope 3_2021","CO2 Equivalent Emissions Indirect, Scope 3_2022",Environmental Innovation Score_2018,Environmental Innovation Score_2019,Environmental Innovation Score_2020,Environmental Innovation Score_2021,Environmental Innovation Score_2022,Environmental Innovation Score Grade_2018,Environmental Innovation Score Grade_2019,Environmental Innovation Score Grade_2020,Environmental Innovation Score Grade_2021,Environmental Innovation Score Grade_2022,"SDG 9 Industry, Innovation and Infrastructure_2018","SDG 9 Industry, Innovation and Infrastructure_2019","SDG 9 Industry, Innovation and Infrastructure_2020","SDG 9 Industry, Innovation and Infrastructure_2021","SDG 9 Industry, Innovation and Infrastructure_2022",EBIT Margin - %,Beta,WACC Long Term Debt Cost,Total Return_2024,Book Value Percentage of Market Capitalization_2017,Book Value Percentage of Market Capitalization_2018,Book Value Percentage of Market Capitalization_2019,Book Value Percentage of Market Capitalization_2020,Book Value Percentage of Market Capitalization_2021,Book Value Percentage of Market Capitalization_2022,"Return on Average Common Equity - %, TTM_2018","Return on Average Common Equity - %, TTM_2019","Return on Average Common Equity - %, TTM_2020","Return on Average Common Equity - %, TTM_2021","Return on Average Common Equity - %, TTM_2022","Return on Average Common Equity - %, TTM_2023",Company Market Cap_2018,Company Market Cap_2019,Company Market Cap_2020,Company Market Cap_2021,Company Market Cap_2022,Company Market Cap_2023,Governance Pillar Score_2018,Governance Pillar Score_2019,Governance Pillar Score_2020,Governance Pillar Score_2021,Governance Pillar Score_2022,CSR Strategy Score_2018,CSR Strategy Score_2019,CSR Strategy Score_2020,CSR Strategy Score_2021,CSR Strategy Score_2022,Management Score_2018,Management Score_2019,Management Score_2020,Management Score_2021,Management Score_2022,Shareholders Score_2018,Shareholders Score_2019,Shareholders Score_2020,Shareholders Score_2021,Shareholders Score_2022,Social Pillar Score_2018,Social Pillar Score_2019,Social Pillar Score_2020,Social Pillar Score_2021,Social Pillar Score_2022,Workforce Score_2018,Workforce Score_2019,Workforce Score_2020,Workforce Score_2021,Workforce Score_2022,Community Score_2018,Community Score_2019,Community Score_2020,Community Score_2021,Community Score_2022,Human Rights Score_2018,Human Rights Score_2019,Human Rights Score_2020,Human Rights Score_2021,Human Rights Score_2022,Product Responsibility Score_2018,Product Responsibility Score_2019,Product Responsibility Score_2020,Product Responsibility Score_2021,Product Responsibility Score_2022
24,MINT.BK,Consumer Discretionary,86.61858968,89.56906118,91.40974749,89.81574569,90.15432099,94.69527262,97.01206903,96.95521589,,,,,,94.36090226,96.66666667,98.25870647,99.33333333,99.40711462,A+,A+,A+,A+,A+,TRUE,TRUE,TRUE,TRUE,TRUE,393816,437229,289414,342206,501108,153008,160229,107777,137644,243782,240808,277000,181637,204562,257326,27268,28767,26186,489776,810844,24,43.75,66.21621622,67.77777778,73.21428571,D+,C+,B,B+,B+,FALSE,FALSE,FALSE,FALSE,FALSE,13.36892,1.81670593,5.344,0.854700855,23.42102295,30.2069136,31.07548877,26.16188309,24.77364107,24.78254996,13.09473902,13.27214651,-29.89274232,-58.66444948,-1.850724481,10.25619331,308088705490,166284163800,133445115667,149895881549,170119228300,165076043154,84.37037037,87.57455545,87.35224586,84.62954292,91.57154882,33.33333333,37.6344086,41.66666667,77.40112994,86.64772727,92.22222222,96.60194175,96.09929078,85.35911602,95.27777778,92.22222222,90.77669903,88.65248227,87.01657459,82.5,85.33107768,86.43735547,89.8649276,87.86247825,88.33758651,98.75621891,99.78070175,99.42084942,98.75886525,99.49152542,54.97512438,50.21929825,78.57142857,73.58156028,73.38983051,95.45454545,95.28985507,93.39622642,91.43646409,95.43147208,90.98360656,95.95238095,89.79166667,88.75968992,87.91208791
14,DELTA.BK,Information Technology,84.6881231,83.81269767,91.87271624,87.10686153,97.21023969,97.24439557,96.94264152,86.02575296,,,,,,98.45890411,97.59887006,97.31934732,97.70459082,99.22413793,A+,A+,A+,A+,A+,TRUE,TRUE,TRUE,TRUE,TRUE,43053.42,41023.3,43520.1,54763.6,64465.5,932.98,897.08,1359.72,1641.3,2113.75,42120.44,40126.2,42160.3,53122.3,62351.8,65718.59,56309.7,95149.1,149859,189341,95.81749049,95.79439252,95.96354167,95.22144522,73.89006342,A+,A+,A+,A+,B+,,TRUE,TRUE,TRUE,TRUE,12.80734,1.483999087,4.218,-3.561643836,35.52416386,39.14559971,49.46469665,6.204228958,8.056546546,5.281401533,16.93605411,10.84349346,16.90404312,16.15858517,29.0762786,30.93260442,86693022173,66734916349,606227464404,513921224968,1035326739620,1097695820320,68.44444444,66.41368271,91.98474103,88.16545453,90.90740741,60,77.95698925,77.65151515,77.40112994,68.75,83.33333333,59.70873786,98.93617021,95.3038674,98.61111111,24.44444444,81.06796117,78.36879433,71.54696133,80,88.40968517,87.78001475,86.69076617,87.12937711,86.37059754,99.29577465,99.63235294,99.28716904,99.54792043,99.76076555,97.6056338,97.67156863,97.65784114,97.37793852,97.52791069,73.96226415,73.64217252,73.24675325,71.95121951,69.71428571,87.80120482,85.2,81.42857143,85.01908397,84.35430464
25,BANPU.BK,Energy,80.62232359,87.8813914,81.62165438,85.18962901,89.84756098,90.73068252,90.77722286,91.77277618,,,,,,82.25806452,85,86.76470588,86.58536585,88.54166667,A-,A,A,A,A,TRUE,TRUE,TRUE,TRUE,TRUE,8981647,7803800,7654370,7239160,7033160,8721823,7550470,7401160,6990530,6763820,259824,253331,253206,248633,269336,73297631,,,,,0,50,50,50,50,D-,C+,C+,C+,C+,,FALSE,FALSE,FALSE,FALSE,12.11589,1.374280031,6.218,1.492537313,84.41802093,109.0250718,98.87013241,111.3256441,110.2717304,101.8702053,8.97012521,3.105263211,-4.019087906,9.356847537,51.17446133,5.940032673,76396497622,61426913629,55820396665,71720752072,115822011016,68128538530,63.18518519,84.92500957,68.60197722,77.79765063,72.73905724,60,77.95698925,91.28787879,96.32768362,93.18181818,67.77777778,89.80582524,74.11347518,89.22651934,83.05555556,50,73.30097087,35.10638298,27.3480663,24.72222222,88.8342246,87.98848211,85.48576307,85.99846021,88.17259415,98.52941176,98.52941176,98.64864865,92.22222222,99.03846154,77.94117647,75,71.62162162,76.66666667,75.96153846,90,89.58333333,90.38461538,89.0625,89.18918919,93.75,98.07692308,77.5862069,93.90243902,94.56521739
17,SCC.BK,Materials,71.37440146,81.98089154,83.94284232,81.71434089,81.15027829,91.39297547,91.06522542,88.44261573,,,,,,85.86956522,94.89795918,97.22222222,95.83333333,94.16666667,A,A+,A+,A+,A+,TRUE,TRUE,TRUE,TRUE,TRUE,24540000,23990000,33900000,33000000,30116800,22100000,21590000,30680000,29820000,27236400,2440000,2400000,3220000,3180000,2880410,,,,12072500,10014400,69.6969697,65.71428571,88.46153846,86.58536585,87.20930233,B+,B,A,A,A,,FALSE,TRUE,TRUE,TRUE,1.77284,0.5289169252,4.223,1.661129568,44.95481577,52.96187443,59.56960332,70.76106239,78.94877677,91.19272953,18.03256487,13.04246862,11.48965575,14.17837152,7.827539912,6.983443028,523200000000,470400000000,453600000000,463200000000,410400000000,367200000000,48.51851852,69.3130807,77.55856437,74.54630583,72.73569024,84.44444444,91.93548387,99.24242424,99.15254237,98.29545455,52.22222222,81.06796117,92.55319149,88.67403315,86.94444444,12.22222222,15.04854369,13.12056738,11.04972376,8.333333333,84.45440756,85.23661845,83.20473718,82.15410111,83.04616635,99,99.01960784,93.63636364,95.96774194,94.53125,89,89.21568627,88.18181818,87.90322581,89.84375,65.15151515,67.10526316,65.55555556,61.32075472,63.55932203,98.88888889,98.95833333,99.05660377,99.15254237,99.19354839
61,IRPC.BK,Energy,71.50827982,81.46098708,77.1687565,79.10226809,86.64977666,82.68929246,83.6053621,82.18744936,,,,,21,94.85294118,91.55251142,83.19148936,77.4,77.09163347,A+,A,A-,A-,A-,TRUE,TRUE,TRUE,TRUE,TRUE,4184000,4125000,3324000,3982000,3324000,3846000,3784000,3721000,3946000,3271000,338000,341000,25000,36000,53000,20377000,16544000,16560000,14906000,13298000,31.03448276,80.14705882,79.87804878,78.97727273,76.96629213,C-,A-,A-,A-,A-,,FALSE,FALSE,TRUE,TRUE,-0.84126,1.521775744,5.344,0,60.7462701,74.28737427,110.7143754,99.35587589,111.5045526,128.7470085,16.11802972,-2.634157693,-10.42007682,17.50885699,5.804047599,-8.021578231,117497910665,75198662825,76016039595,78468169905,61711946123,41277526877,56.07407407,77.59787034,67.84762519,74.83212119,60.53703704,84.44444444,91.93548387,77.65151515,77.40112994,68.75,38.88888889,77.18446602,65.60283688,79.28176796,56.38888889,94.44444444,69.41747573,68.79432624,58.28729282,68.88888889,71.80098872,84.09579845,80.05328222,80.28723371,80.90359114,97.43083004,97.18045113,93.19852941,89.92932862,92.62589928,89.5256917,85.90225564,78.125,79.6819788,80.75539568,45.16129032,76.6025641,71.65775401,67.31707317,66.82242991,66.58653846,75.21929825,77.98353909,94.78764479,93.57976654
15,BTS.BK,Industrials,75.38852425,77.27659811,75.99019952,79.01296539,55.94315245,56.65025253,59.1609371,60.09031851,,,,,,24.30555556,82.73809524,86.11111111,94.3877551,90.86021505,D+,A-,A,A+,A,TRUE,TRUE,TRUE,TRUE,TRUE,63979,78020,72722,78981,87855,1227,744,3585,3500,5681,62752,77276,69137,75481,82174,,2745,6753,68325,75692.5,0,0,0,0,0,D-,D-,D-,D-,D-,FALSE,FALSE,TRUE,TRUE,FALSE,12.36351,0.9304053766,2.842414,0.694444444,,,,,,,5.827204434,8.868589797,12.55967242,9.621180784,4.758521166,0.5424435979,113122096072,173636462749,122397196696,123085732180,110608163081,95465378850,75.76538957,78.69868902,72.2170199,82.59090909,84.8908701,55.37634409,77.65151515,77.40112994,93.18181818,91.90751445,73.30097087,80.4964539,63.25966851,79.16666667,82.76836158,97.57281553,73.40425532,98.61878453,86.94444444,87.28813559,94.45703073,96.48085278,96.59264154,94.35766857,92.02746345,93.15789474,97.5,96.69811321,92.85714286,88.26530612,96.06741573,98.42105263,99.52830189,99.52380952,95.91836735,97.05882353,96.75324675,95.45454545,94.94382022,94.04761905,89.20454545,90.86021505,94.32989691,90.4040404,91.93548387
35,BCP.BK,Energy,29.87645899,72.19875588,69.27865342,78.93720794,89.62937697,88.4848782,91.44962222,90.20061813,,,,,,,96.57534247,95.95744681,96.2,95.41832669,,A+,A+,A+,A+,,TRUE,TRUE,TRUE,TRUE,,1174801.67,905187.229,840251.4,945666,,1071861.02,886414.709,822127.69,932120,,102940.65,18772.52,18123.71,13545.7,,,,3266264.41,3874170,,80.14705882,79.87804878,78.97727273,76.96629213,,A-,A-,A-,A-,,TRUE,TRUE,TRUE,TRUE,8.32034,1.565091061,5.344,0,81.05480952,97.70721219,108.0647832,128.4176225,125.794009,121.6844066,11.91618124,-1.000647952,-17.99535025,14.21604973,28.09835164,24.01048421,43717310235,38553848396,28364617034,34767309714,43373079446,59896157330,,55.02766468,50.3513862,58.46573233,48.70117845,,98.38709677,91.28787879,91.8079096,86.64772727,,49.02912621,45.03546099,59.39226519,46.38888889,,46.11650485,40.78014184,33.14917127,31.11111111,,73.08372477,66.03495184,88.14527335,88.95315275,,95.67669173,91.36029412,95.58303887,96.58273381,,77.63157895,60.84558824,64.48763251,69.24460432,,44.55128205,37.96791444,91.70731707,91.35514019,,94.95614035,93.62139918,94.4015444,92.80155642
56,KKP.BK,Financials,10.53125418,62.98493464,69.84813774,76.78062074,31.59376255,73.38405666,75.84654329,72.18677489,,,,,,,61.98630137,74.38095238,77.23765432,75.24407252,,B,B+,A-,A-,,TRUE,TRUE,TRUE,TRUE,,6553.782,6111.359,5550.481,6584.4,,2371.607,1886.035,2857.091,3017.22,,4182.175,4225.324,2693.39,3567.17,,,,,,,18.51265823,79.53296703,80.18223235,75.88357588,,D+,A-,A-,A-,,TRUE,TRUE,TRUE,TRUE,38.64775,1.223401333,5.344,1.515151515,61.59326781,75.19164977,78.55713468,106.1566611,100.8948251,92.59483391,14.58333628,13.70068252,13.01350139,11.50367777,15.98928841,10.91561912,56097260971,55885573194,43819369891,50593378763,62447894289,42549243227,,62.33392491,70.64367075,78.77859974,73.8956229,,32.79569892,36.74242424,54.23728814,46.02272727,,74.27184466,84.04255319,91.98895028,88.05555556,,42.23300971,48.58156028,51.10497238,45.27777778,,53.23682237,63.05419919,79.3764876,79.161517,,68.03178484,93.11342593,92.61780105,92.24845996,,83.86308068,85.70601852,84.86910995,85.26694045,,5.466237942,5.191256831,62.60869565,63.04761905,,31.30718954,29.70479705,61.28854626,59.86140725
48,CPAXT.BK,Consumer Staples,62.84410144,72.98742811,66.00720044,74.99215503,88.64539307,86.83921342,80.44106098,83.03095246,,,,,,75.78125,89.58333333,93.125,90.34090909,85.16483516,A-,A,A+,A,A,TRUE,TRUE,TRUE,TRUE,TRUE,259623.22,262875.49,233476,251517,718087,50214.93,43232.95,49833.4,65932.3,146754,209408.29,219642.54,183643,185585,571333,486.87,5215.66,57540,58943.7,6876080,78.33333333,74.28571429,78.57142857,77.35849057,75.42372881,A-,B+,A-,A-,A-,,FALSE,FALSE,TRUE,TRUE,3.43429,0.5432467966,5.344,1.886792453,9.437050787,12.19338544,13.60419518,56.85208212,64.80970139,68.60567976,36.62900587,34.27979982,33.66800207,31.72649353,9.229673925,2.707096093,153600000000,148800000000,189600000000,444373587000,423212940000,285668734500,36.51851852,62.78908724,41.22609069,64.50114971,65.59090909,60,77.95698925,91.28787879,96.32768362,93.18181818,21.11111111,66.50485437,35.81560284,72.09944751,75.83333333,72.22222222,40.29126214,25.88652482,17.9558011,13.05555556,63.36839274,69.33398366,76.35444965,77.4443629,74.79744284,91.44736842,94.51219512,97.25274725,96.39175258,96.5,38.81578947,35.36585366,48.9010989,50,41.5,94.11764706,86.84210526,84.05797101,94.15584416,93.45238095,51.58730159,77.20588235,85.18518519,83.90804598,84.57446809
65,CENTEL.BK,Consumer Discretionary,27.98353909,78.94404436,81.73391085,74.57845819,83.95061728,87.80837415,86.22173808,77.70985895,,,,,,,90,93.28358209,93.55555556,79.64426877,,A,A+,A+,A-,,TRUE,TRUE,TRUE,TRUE,,68037.07,47717.18,34220.54,85094.4,,27437.65,22500.91,14846.35,34536.7,,40599.42,25216.27,19374.19,50557.7,,7010.29,3782.58,2862.43,10735.2,,0,0,0,0,,D-,D-,D-,D-,,TRUE,TRUE,TRUE,TRUE,10.89065,1.4597347,5.344,0,14.67601621,23.89287283,40.50464807,31.01350211,42.84778925,27.29778411,18.1537385,13.68265608,-7.618115046,-22.15320354,0.2889905123,6.93541334,54000000000,33750000000,31995000000,42187500000,67837500000,59062500000,,75.76538957,78.9673329,69.27583731,64.41414141,,55.37634409,56.43939394,54.23728814,46.02272727,,82.03883495,87.58865248,77.0718232,74.16666667,,68.44660194,65.24822695,53.31491713,44.16666667,,73.25836935,80.01266158,76.74967831,69.27374557,,82.23684211,92.85714286,93.79432624,58.81355932,,73.02631579,77.7992278,68.79432624,67.62711864,,67.02898551,62.26415094,56.62983425,58.88324873,,71.66666667,82.70833333,81.58914729,80.03663004
